ENGINEERING CUTOFF RANK OF CET-2016 - R2 Extended ALLOTMENT ( General ) 26-07-2016,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,E001  University Visveswariah College of Engineering  Bangalore,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
IE Info.Science,12393,--,--,10130,--,17253,13524,--,23787,5783,--,--,6979,14463,--,5635,12095,11700,37439,--,39763,19866,--,--
IM Ind. Engg.,51802,--,--,35675,--,107707,26606,--,--,28739,--,--,25838,--,--,25002,47818,33183,87861,--,--,--,--,--
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,
IT Inst.Tech.,27110,--,--,20875,--,40166,20428,--,--,22456,--,--,21350,52511,--,19178,--,26628,78217,--,--,40918,--,--
MD Med.Elect.,33823,--,--,31061,--,58763,36246,--,--,25029,--,--,26328,--,--,19811,53237,48950,54147,--,112801,--,--,--
ME Mechanical,21727,--,36322,15244,24348,29103,17924,--,--,11418,--,--,15630,--,21297,10220,15642,17073,35919,37555,46221,22845,--,--
TC Telecommn.,17112,--,82423,19897,--,30546,15857,--,--,14884,--,--,16656,--,--,14241,33681,24011,73928,81072,--,39769,--,--
8,,E008  Bangalore Institute of Technology  Bangalore,,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,20122,27988,--,19654,--,19938,19028,--,--,14568,--,21034,17674,20452,21334,13824,17884,18933,33284,--,43026,22033,--,32580
CS Computers,6319,--,--,6219,19309,11438,7362,--,10640,3879,--,--,3457,--,7998,2541,3524,7224,27206,32645,42586,10968,--,--
EC Electronics,8811,--,15300,6528,16114,8655,10482,--,29443,4444,--,--,5608,--,12931,3414,11049,7773,25484,30096,41093,15664,--,--
EE Electrical,16788,--,--,12551,--,27202,10217,--,--,7540,20362,--,8869,--,--,7250,16107,9789,28571,--,41650,--,--,--
IE Info.Science,8418,--,--,7717,--,--,9142,--,--,3650,--,8641,3566,--,--,3485,--,7886,27407,--,--,--,--,--
IM Ind. Engg.,35814,--,--,41101,--,--,38525,--,--,31553,--,--,20662,--,--,18305,61399,27956,102539,--,124521,--,--,--
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,
IT Inst.Tech.,30102,--,--,18124,--,56988,30011,--,--,16751,--,--,16625,--,--,11470,42346,26797,73529,--,--,52015,--,--
ME Mechanical,13600,--,19078,13788,28416,29825,11070,--,--,9948,--,15835,13489,--,--,7285,12180,15372,36237,43127,51030,20870,--,--
TC Telecommn.,16374,--,--,13960,--,--,16843,--,--,12723,--,--,15579,--,--,11252,24740,14565,46671,--,--,35221,--,38839
9,,E009  P E S University (Formerly PESIT)  Bangalore,,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
BT Bio Technology,22291,--,--,15688,--,--,16199,--,--,8758,--,--,18553,--,--,7396,33521,22140,43028,--,--,--,--,41312
CE Civil,16493,--,--,12367,--,21723,11687,--,--,9468,--,16373,10116,--,--,8866,17814,11240,19116,--,--,--,--,--
CS Computers,3006,12757,4324,3030,18222,6343,2833,6405,7754,1864,--,3972,1837,5115,5151,756,3737,2551,14387,27196,41971,7603,--,18623
EC Electronics,5661,--,9365,3641,5265,7799,2839,--,13405,1952,11853,2841,1958,--,4462,1190,3170,2777,19132,50774,34609,8010,--,--
EE Electrical,7183,--,--,7059,--,9664,7189,--,--,3834,--,--,4956,--,7132,3071,4712,6520,29764,--,47231,12053,14475,--
ME Mechanical,6791,--,20578,9437,20047,26706,6271,--,17349,4463,--,--,4874,--,7346,3292,6483,7090,26732,30270,46514,11677,--,--
10,,E010  Islamia Institute of Technology  Bangalore,,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,85983,--,--,66900,90846,--,72873,--,--,74057,--,90781,66802,--,--,59997,--,68279,87506,--,--,--,--,--
CS Computers,--,--,--,66866,--,--,--,--,--,--,--,--,--,--,80626,45418,66197,70172,80946,--,--,70181,--,--
EC Electronics,--,--,--,81823,--,--,--,--,--,47130,--,--,50143,--,--,44159,--,90798,111630,--,--,81625,--,--
,,,,,,,,,,,,,,,,,,,,,,,,
ENGINEERING CUTOFF RANK OF CET-2016 - R2 Extended ALLOTMENT ( General ) 26-07-2016,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
10,,E010  Islamia Institute of Technology  Bangalore,,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
ME Mechanical,94334,--,--,83612,--,92917,77272,--,--,--,--,--,76014,--,--,74318,74951,78887,89891,--,--,--,--,--
11,,E011  M V J College of Engineering  Bangalore,,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AE Aeronaut.Engg,16599,--,--,17949,32259,20348,14555,--,--,14125,--,--,16772,--,--,13618,25194,16621,28270,40934,36864,27858,--,33206
CE Civil,39161,--,--,48135,--,53304,42817,--,71468,37856,68590,--,45038,--,--,36804,37850,49792,47280,--,51799,44675,--,--
CH Chemical,41059,--,--,52003,--,--,53923,--,--,58946,--,--,42496,--,--,40475,51831,57414,54928,--,120996,--,--,--
CS Computers,25417,--,28893,22325,24960,29788,21821,--,--,18713,--,23331,18579,--,31749,14766,15089,21012,56057,61099,64028,27295,--,--
EC Electronics,27773,--,68546,26525,--,38382,30882,--,32058,20819,--,--,22883,--,32234,20207,29159,27454,53305,--,66094,37718,--,--
EE Electrical,42133,57410,--,34798,--,--,33187,--,--,33671,--,--,35408,--,--,31505,--,38510,76379,--,--,--,--,93909
IE Info.Science,30443,--,--,21971,--,36878,28454,--,--,20013,--,--,19405,--,--,18928,22327,25586,55859,--,89722,--,--,--
MD Med.Elect.,--,--,--,60869,--,--,--,--,--,--,--,--,59198,--,--,54013,--,88426,114798,--,--,81869,--,--
ME Mechanical,39965,--,--,40814,--,54151,36877,--,--,38448,--,--,37757,--,44756,35091,36493,41675,61877,77889,79173,43123,--,--
12,,,E012  Sir M.Visveswaraya Institute of Technology  Bangalore,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
BT Bio Technology,29756,--,--,23117,--,--,19088,--,--,24958,--,36937,27200,--,--,14569,31596,27077,48745,--,--,--,--,75119
CE Civil,19758,--,--,21886,--,--,18043,36994,45091,17827,--,--,17143,--,--,15858,--,18888,32468,--,38439,26795,--,--
CS Computers,8782,25917,--,7439,--,9561,5391,--,45381,4826,--,--,6627,--,--,3750,15118,8640,29152,--,42273,19495,--,--
EC Electronics,9465,--,28894,9431,--,13918,9309,--,--,5733,--,--,8337,19129,12406,5520,10351,9299,28114,--,62051,11384,--,--
EE Electrical,21500,--,25146,22580,36863,29983,18992,--,--,13871,--,--,20019,--,--,13741,22405,23046,39362,--,50621,25437,--,--
IE Info.Science,10801,--,--,8283,--,14039,11663,--,--,7220,--,--,5680,--,--,5248,9532,10008,37804,--,52459,--,--,--
IM Ind. Engg.,32146,--,--,54704,--,--,--,--,--,--,--,34891,--,--,--,27521,--,53294,106951113262,,--,48397,--,--
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,
ME Mechanical,19707,--,--,18547,20303,22282,13187,--,--,13877,--,--,16884,--,21632,11458,15321,17403,48282,65230,57564,27224,--,--
TC Telecommn.,23237,--,--,20105,--,36503,20982,--,--,14541,--,--,26303,--,--,12871,40407,24753,73651,--,--,35908,--,--
13,,E013  Ghousia Engineering College  Ramanagar,,,,,,,,,,,,,,,,,,,,,,
,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,102490,--,--,127093,--,--,96873,--,--,98922,--,,109237100477,107261,--,93328,97854,104910117149,,--,--,106118,--,--
CS Computers,--,--,--,126000,--,--,98776,--,,109654100639,--,--,104712,--,--,98739,--,108534,--,--,--,113910,--,--
EC Electronics,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,126706,--,--,--,--,--,--,--,--
EE Electrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,125817,--,--,--,--,--,--,--,--
