CollegeName,BranchName,Quota,CutoffRank
E005  R. V. College of Engineering  Bangalore,ME Mechanical,2BG,3083
E001  University Visveswariah College of Engineering  Bangalore,CS Computers,GM,3104
E022  The National Institute of Engineering  Mysore,EC Electronics,GM,3113
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,EC Electronics,1G,3115
E030  KLE Technological University(Formerly BVBCET)  Hubli,EC Electronics,GM,3149
E057  JSS Science and Technology University(Formerly SJCE)  Mysore,IE Info.Science,3BG,3151
E009  P E S University (Formerly PESIT)  Bangalore,EC Electronics,GMK,3170
E005  R. V. College of Engineering  Bangalore,IE Info.Science,2BG,3191
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,CS Computers,1G,3197
"E048  B M S College of Engineering  Basavanagudi,Bangalore",TC Telecommn.,GM,3208
E005  R. V. College of Engineering  Bangalore,EE Electrical,1G,3227
E006  M S Ramaiah Institute of Technology  Bangalore,EE Electrical,GM,3245
"E048  B M S College of Engineering  Basavanagudi,Bangalore",CS Computers,2AR,3253
E005  R. V. College of Engineering  Bangalore,ME Mechanical,2AG,3268
E009  P E S University (Formerly PESIT)  Bangalore,ME Mechanical,GM,3292
E030  KLE Technological University(Formerly BVBCET)  Hubli,EC Electronics,GMK,3328
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EE Electrical,3AG,3343
"E003  B M S College of Engineering  Basavanagudi,Bangalore",ME Mechanical,GMR,3397
E006  M S Ramaiah Institute of Technology  Bangalore,EC Electronics,3BK,3400
E008  Bangalore Institute of Technology  Bangalore,EC Electronics,GM,3414
E005  R. V. College of Engineering  Bangalore,EE Electrical,2BG,3416
"E048  B M S College of Engineering  Basavanagudi,Bangalore",IE Info.Science,GMR,3425
E022  The National Institute of Engineering  Mysore,EC Electronics,3AG,3447
E008  Bangalore Institute of Technology  Bangalore,CS Computers,3BG,3457
E006  M S Ramaiah Institute of Technology  Bangalore,ME Mechanical,GM,3462
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,STG,3463
E008  Bangalore Institute of Technology  Bangalore,IE Info.Science,GM,3485
"E048  B M S College of Engineering  Basavanagudi,Bangalore",IE Info.Science,2BG,3499
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,CS Computers,GMR,3511
E006  M S Ramaiah Institute of Technology  Bangalore,CS Computers,2AG,3517
E008  Bangalore Institute of Technology  Bangalore,CS Computers,GMK,3524
E056  The National Institute of Engineering  Mysore,CS Computers,3AG,3528
"E003  B M S College of Engineering  Basavanagudi,Bangalore",ME Mechanical,3AG,3562
E008  Bangalore Institute of Technology  Bangalore,IE Info.Science,3BG,3566
E006  M S Ramaiah Institute of Technology  Bangalore,CS Computers,GMK,3569
E030  KLE Technological University(Formerly BVBCET)  Hubli,EC Electronics,3BG,3637
E006  M S Ramaiah Institute of Technology  Bangalore,CS Computers,1G,3639
E009  P E S University (Formerly PESIT)  Bangalore,EC Electronics,2AG,3641
E008  Bangalore Institute of Technology  Bangalore,IE Info.Science,3AG,3650
"E048  B M S College of Engineering  Basavanagudi,Bangalore",IE Info.Science,2AG,3654
E057  JSS Science and Technology University(Formerly SJCE)  Mysore,IE Info.Science,3AG,3694
E056  The National Institute of Engineering  Mysore,CS Computers,3BG,3700
E005  R. V. College of Engineering  Bangalore,EE Electrical,2AG,3714
E057  JSS Science and Technology University(Formerly SJCE)  Mysore,CS Computers,GMR,3728
E056  The National Institute of Engineering  Mysore,EC Electronics,GM,3731
E009  P E S University (Formerly PESIT)  Bangalore,CS Computers,GMK,3737
"E003  B M S College of Engineering  Basavanagudi,Bangalore",ME Mechanical,2BG,3748
E012  Sir M.Visveswaraya Institute of Technology  Bangalore,CS Computers,GM,3750
E005  R. V. College of Engineering  Bangalore,EC Electronics,3BR,3803
E006  M S Ramaiah Institute of Technology  Bangalore,EC Electronics,2AG,3819
E009  P E S University (Formerly PESIT)  Bangalore,EE Electrical,3AG,3834
E057  JSS Science and Technology University(Formerly SJCE)  Mysore,EC Electronics,GMK,3837
E005  R. V. College of Engineering  Bangalore,TC Telecommn.,2AG,3853
E005  R. V. College of Engineering  Bangalore,ME Mechanical,2AR,3862
E005  R. V. College of Engineering  Bangalore,SE Aero Space,3AG,3865
E005  R. V. College of Engineering  Bangalore,SE Aero Space,1G,3867
E001  University Visveswariah College of Engineering  Bangalore,CS Computers,GMK,3872
E008  Bangalore Institute of Technology  Bangalore,CS Computers,3AG,3879
E006  M S Ramaiah Institute of Technology  Bangalore,TC Telecommn.,GM,3915
E005  R. V. College of Engineering  Bangalore,CS Computers,3BK,3916
E007  Dayananda Sagar College of Engineering  Bangalore,CS Computers,GM,3918
E057  JSS Science and Technology University(Formerly SJCE)  Mysore,EC Electronics,GMR,3920
"E126  B M S Institute of Technology and Management  Yalahanka,",CS Computers,GM,3949
E005  R. V. College of Engineering  Bangalore,IE Info.Science,2AR,3952
E056  The National Institute of Engineering  Mysore,EC Electronics,3AG,3954
E022  The National Institute of Engineering  Mysore,EC Electronics,3BG,3966
E009  P E S University (Formerly PESIT)  Bangalore,CS Computers,3AR,3972
E006  M S Ramaiah Institute of Technology  Bangalore,IE Info.Science,2BG,4007
E005  R. V. College of Engineering  Bangalore,CE Civil,GM,4010
E006  M S Ramaiah Institute of Technology  Bangalore,EE Electrical,3AG,4021
E030  KLE Technological University(Formerly BVBCET)  Hubli,EC Electronics,3AG,4022
E007  Dayananda Sagar College of Engineering  Bangalore,CS Computers,2BG,4030
E006  M S Ramaiah Institute of Technology  Bangalore,CS Computers,GMR,4044
E001  University Visveswariah College of Engineering  Bangalore,EC Electronics,GM,4047
E006  M S Ramaiah Institute of Technology  Bangalore,CS Computers,3AR,4062
E006  M S Ramaiah Institute of Technology  Bangalore,TC Telecommn.,3AG,4072
E001  University Visveswariah College of Engineering  Bangalore,CS Computers,3AG,4091
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,EC Electronics,2AG,4097
"E003  B M S College of Engineering  Basavanagudi,Bangalore",EE Electrical,3BG,4100
E006  M S Ramaiah Institute of Technology  Bangalore,IE Info.Science,GMK,4118
"E048  B M S College of Engineering  Basavanagudi,Bangalore",CS Computers,3BR,4202
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,EC Electronics,GMR,4204
"E048  B M S College of Engineering  Basavanagudi,Bangalore",ME Mechanical,2AG,4255
E118  RNS Institute of Technology  Bangalore,CS Computers,GM,4256
E021  JSS Science and Technology University(Formerly SJCE)  Mysore,CS Computers,2BG,4257
"E003  B M S College of Engineering  Basavanagudi,Bangalore",ME Mechanical,2AR,4279
E005  R. V. College of Engineering  Bangalore,TC Telecommn.,STG,4291
"E048  B M S College of Engineering  Basavanagudi,Bangalore",EC Electronics,STG,4303
E006  M S Ramaiah Institute of Technology  Bangalore,EC Electronics,1G,4319
E009  P E S University (Formerly PESIT)  Bangalore,CS Computers,1R,4324
E006  M S Ramaiah Institute of Technology  Bangalore,IE Info.Science,GMR,4329
E005  R. V. College of Engineering  Bangalore,EE Electrical,GMR,4336
E007  Dayananda Sagar College of Engineering  Bangalore,CS Computers,3AG,4344
E053  N M A M Institutute of Technology  Nitte,CS Computers,GM,4378
